Variable,row,age,sex,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40,m41,m42,m43,m44,m45,m46,m47,m48,m49,m50,m51,m52,m53,m54,m55,m56,maharat,roshd,khodpeiravi,ertebatm,rezayat,manaviat,shadi,behzisti,maharat ej,raftar gheir ej,parkhash,bartari,rabete hamsal
,28,,1,4,5,2,1,1,1,2,1,2,3,2,1,4,2,1,1,1,2,2,4,2,1,1,4,4,2,1,1,5,5,1,1,1,1,4,1,1,1,2,2,4,2,2,3,2,1,1,1,1,3,1,1,4,3,2,4,2,4,4,1,2,2,1,2,1,3,1,3,3,4,2,2,2,2,2,1,5,5,5,5,5,3,4,5,4,5,4,5,5,5,3,4,4,4,5,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,2,3,2,2,1,2,4,1,2,4,1,3,2,3,4,142,22,27,18,31,22,47,167,80,13,13,12,24
,29,,1,3,4,2,2,1,1,3,1,1,3,2,2,3,2,1,2,3,2,3,5,4,2,3,4,1,2,1,2,5,5,2,1,1,1,3,3,2,2,2,2,4,3,2,5,4,1,4,1,2,2,1,4,4,4,5,5,2,4,4,1,1,1,1,3,1,1,2,2,2,4,1,2,1,2,4,1,3,2,2,2,2,3,4,2,3,2,3,4,3,5,2,4,5,5,2,3,4,2,3,3,1,1,1,2,1,2,1,2,1,1,3,1,1,1,3,4,2,1,5,2,2,2,3,1,1,1,1,3,5,2,1,3,5,136,18,29,21,45,23,51,188,55,23,21,15,22
,30,,1,1,2,2,2,2,1,4,2,4,2,2,4,3,2,1,1,1,4,5,5,1,2,3,3,1,5,1,1,3,4,1,1,1,1,2,3,1,1,3,4,5,5,2,5,5,1,2,3,1,4,3,2,2,4,2,5,1,5,3,3,1,2,3,1,1,1,1,3,1,4,1,1,5,3,2,1,2,2,5,5,5,4,2,3,5,1,2,5,3,5,2,5,5,2,4,1,1,1,2,1,1,1,3,1,1,1,2,3,1,1,2,4,3,4,1,3,3,2,4,1,4,5,1,3,2,1,4,2,1,2,4,4,2,148,20,24,23,44,34,46,188,65,14,29,18,22
,31,,1,4,2,2,4,2,3,2,2,1,4,2,2,4,2,2,4,4,4,4,4,2,4,4,4,4,4,1,1,1,1,3,1,3,1,5,1,3,1,1,2,1,5,1,1,3,1,1,2,2,3,1,3,4,1,3,1,1,4,3,1,1,1,1,1,3,1,1,1,3,3,1,3,5,2,2,1,3,4,5,5,5,5,1,5,5,5,5,5,5,5,1,3,5,4,4,1,1,1,1,1,1,1,4,1,1,3,2,4,4,3,2,2,2,1,5,2,2,1,3,2,2,5,5,4,5,1,1,5,2,2,2,3,3,168,23,28,15,43,28,46,180,77,16,30,21,24
,32,,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,1,5,1,1,1,3,1,3,1,1,5,5,1,3,1,1,5,1,1,1,1,1,1,3,1,3,1,1,1,1,1,5,3,1,5,1,5,1,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,5,5,5,5,5,5,4,5,5,5,4,5,5,5,4,5,5,5,5,4,1,1,1,2,1,1,4,1,1,3,1,3,3,3,1,1,1,1,2,5,1,1,5,5,5,5,3,5,5,1,1,5,2,5,1,1,5,184,17,19,8,27,23,38,131,87,20,23,28,26
,33,,1,3,1,3,1,3,1,2,1,2,3,4,1,3,1,1,2,3,2,2,3,3,2,2,4,3,3,2,2,2,3,3,1,2,2,3,2,3,2,1,2,2,3,1,3,3,1,3,3,1,3,3,1,2,2,3,2,2,4,2,2,1,3,3,1,1,1,1,2,3,2,2,3,3,3,3,1,3,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,5,1,1,5,1,2,3,1,5,144,19,32,18,38,25,40,171,88,11,13,8,24
,34,,1,3,1,1,1,1,3,2,1,1,5,5,1,3,1,1,3,4,5,5,5,2,1,3,2,5,5,1,1,1,5,1,1,5,1,5,3,1,5,5,3,1,5,1,5,3,1,1,2,1,5,1,1,1,1,3,5,2,5,3,2,1,1,1,5,1,1,1,3,1,5,1,1,1,1,3,1,2,5,3,5,3,3,3,5,3,5,4,5,1,4,5,4,5,1,5,1,1,1,4,1,1,1,4,1,1,5,1,5,2,3,3,3,1,1,1,1,2,1,5,4,5,5,1,3,5,1,5,4,1,4,1,5,1,164,17,25,20,45,30,49,187,69,21,24,23,27
,35,,1,1,1,2,1,1,1,1,1,2,1,1,1,2,2,1,1,2,2,4,5,2,1,1,5,4,1,1,1,2,2,1,1,1,2,2,2,2,1,1,2,2,2,1,5,2,1,2,1,1,1,2,1,1,5,5,1,1,4,4,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,2,5,5,4,5,5,4,5,5,5,5,5,4,4,4,5,5,5,5,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,5,4,1,4,2,4,5,1,1,5,1,4,1,2,2,153,16,23,12,29,15,36,132,85,12,14,20,22
,36,,1,2,1,2,3,2,2,1,3,1,2,2,2,2,3,1,4,2,3,4,5,1,1,1,2,4,3,2,3,4,5,1,2,3,2,4,1,1,1,2,2,3,2,2,4,4,1,1,1,1,5,1,2,2,3,4,4,1,5,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,3,2,1,2,4,5,5,5,3,4,5,5,4,5,5,4,3,4,5,5,3,5,2,1,2,1,1,1,1,2,1,1,2,1,2,1,2,1,1,1,1,2,5,1,1,4,2,2,2,2,2,5,4,2,4,1,4,2,2,5,156,19,23,13,40,32,38,165,79,15,19,14,29
,37,,1,1,1,1,5,2,1,1,1,1,2,1,1,5,3,1,3,1,5,3,5,1,3,1,5,5,4,1,1,2,5,1,1,1,1,5,1,1,1,1,2,5,5,2,5,2,1,1,1,1,1,5,2,2,1,1,5,1,5,5,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,2,1,1,5,5,5,5,2,3,5,5,5,4,5,5,5,4,5,5,5,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,3,1,5,1,1,5,1,1,5,1,5,1,4,5,154,21,22,15,33,24,44,160,83,15,13,15,28
,38,,1,3,3,2,1,1,1,1,1,1,2,3,2,3,2,1,2,1,3,2,5,3,1,2,5,4,3,1,1,3,5,2,1,1,1,4,2,3,2,2,2,3,1,1,4,3,1,3,2,2,1,1,3,2,3,4,2,2,4,4,3,1,2,1,1,1,1,1,2,3,3,2,3,3,4,3,1,5,5,4,4,4,4,3,5,4,5,5,5,5,5,4,5,5,4,4,1,1,3,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,2,1,1,5,3,1,5,3,2,5,2,3,3,2,3,1,1,4,153,21,35,14,41,19,45,174,80,15,15,19,24
,39,,1,3,4,1,1,2,2,1,1,2,3,2,1,2,3,2,1,2,2,3,3,2,1,2,4,3,3,1,2,4,4,1,1,1,2,4,2,2,2,2,3,4,2,2,3,3,1,2,2,1,1,2,2,2,3,4,2,2,3,3,2,2,1,1,2,2,2,1,2,3,2,2,2,2,3,3,1,3,5,3,2,5,5,4,5,5,5,4,5,4,4,3,5,5,4,5,1,1,1,1,1,1,1,1,1,1,1,1,4,1,3,1,1,1,1,3,2,1,1,5,4,3,5,5,2,3,1,1,4,2,3,2,2,4,155,20,27,19,37,18,46,167,78,11,20,24,22
,40,,1,1,2,1,1,1,1,1,1,1,1,1,4,3,2,1,1,1,1,4,1,2,1,1,4,2,3,1,1,3,4,1,1,1,1,1,1,1,1,5,3,3,1,2,4,1,1,1,1,1,1,1,1,2,1,2,4,1,2,4,1,1,1,1,4,2,1,1,2,1,3,1,1,3,4,2,1,4,5,5,5,5,5,4,5,5,5,4,4,5,5,4,5,4,5,5,3,2,1,1,1,2,1,3,1,1,4,1,1,1,1,1,1,1,1,3,2,1,1,5,2,1,5,5,1,4,2,2,5,2,3,1,1,5,164,19,17,16,30,22,33,136,85,20,15,19,25
,41,,1,3,1,1,1,2,1,2,1,2,2,4,1,1,1,1,1,2,1,1,4,1,1,1,4,3,1,1,1,2,5,1,1,1,1,3,3,3,1,1,3,1,3,1,3,3,1,2,3,1,1,3,3,1,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,4,5,3,5,5,4,3,5,4,5,3,5,5,4,4,2,2,1,1,1,2,1,3,1,1,1,1,2,1,1,1,2,1,1,2,4,2,1,5,1,1,5,3,1,5,3,1,5,1,3,2,1,4,154,18,32,16,39,20,42,168,78,16,19,16,25
,42,,1,2,3,1,2,3,2,2,2,1,1,2,2,3,2,1,3,1,3,3,3,1,2,2,3,2,3,1,2,3,3,3,2,3,2,3,3,2,3,3,3,3,2,3,4,2,2,3,2,1,4,3,2,3,3,3,4,3,4,2,2,3,3,1,1,2,3,1,3,3,2,2,4,3,2,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,4,1,2,2,1,1,3,1,1,3,1,3,3,1,3,3,3,4,148,19,26,15,47,28,51,188,86,11,18,9,24
,43,,1,3,4,3,2,4,2,2,1,3,3,4,1,4,1,2,3,3,4,2,4,3,3,3,4,4,4,1,1,1,4,3,3,2,3,3,3,3,3,3,4,4,3,2,4,3,1,3,3,2,1,3,4,3,3,3,3,3,3,3,3,2,3,1,3,3,1,1,3,3,3,2,3,4,3,3,1,5,3,4,3,3,3,2,4,3,3,3,4,2,5,2,4,4,3,2,2,2,2,2,2,1,1,2,2,1,2,1,3,1,3,1,3,3,1,3,3,3,1,4,1,1,2,1,1,3,2,3,3,2,3,1,2,2,133,23,32,26,52,27,56,214,57,19,26,10,21
,44,,1,3,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,4,5,5,2,3,3,5,3,3,1,3,3,2,3,1,1,1,3,3,3,2,4,3,5,3,4,5,2,1,3,1,1,3,3,2,3,2,3,3,1,5,3,3,1,1,1,2,1,1,4,4,3,4,3,3,4,1,3,1,4,1,5,5,5,5,3,5,5,1,5,5,3,5,3,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,118,19,32,19,40,24,53,185,76,11,14,6,11
,45,,1,3,1,1,1,1,1,2,1,3,3,3,1,1,1,1,2,1,5,4,3,1,2,1,3,4,1,2,1,5,5,1,1,1,1,3,1,2,3,2,2,2,3,1,3,3,1,1,3,1,3,3,1,1,1,4,3,1,4,2,1,1,1,1,1,1,3,2,2,2,4,1,1,1,1,3,3,3,5,4,5,3,4,3,5,4,5,4,5,3,3,5,3,5,4,5,4,1,2,1,4,4,3,3,2,1,4,2,4,2,2,1,1,2,2,5,3,2,1,5,3,4,5,3,2,5,4,4,2,2,4,3,1,3,181,18,23,15,35,21,39,154,75,29,27,22,28
,46,,1,1,4,3,2,2,1,3,2,2,3,2,3,4,3,3,4,2,2,4,4,4,1,3,2,4,1,2,2,3,3,4,3,4,3,2,3,4,3,2,3,2,3,2,3,4,2,3,2,3,4,1,4,3,2,3,2,1,2,1,4,2,3,1,2,2,2,1,2,3,2,1,1,2,2,2,2,2,4,3,2,4,4,5,5,2,4,3,1,4,4,2,4,5,3,4,2,1,2,3,2,1,2,3,3,1,3,1,3,3,3,2,2,1,1,2,2,1,2,3,3,4,4,4,4,4,3,4,4,2,4,3,3,4,162,20,24,21,56,31,39,193,63,23,23,22,31
,47,,1,3,5,1,1,2,1,2,1,1,1,2,1,1,1,1,1,3,1,1,4,3,2,2,2,4,1,1,1,3,3,1,1,2,2,3,3,3,1,1,1,2,3,3,3,3,1,1,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2,3,2,3,4,5,3,5,5,3,5,3,5,3,4,3,4,2,3,3,2,5,2,2,2,1,1,2,1,3,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,3,5,2,5,5,3,5,1,1,4,1,3,1,1,4,144,20,26,15,43,21,48,174,67,17,16,23,21
,48,,1,2,5,2,3,2,1,1,1,2,2,3,1,3,2,1,2,2,3,3,4,1,1,1,4,2,3,1,1,3,4,3,2,2,1,3,2,2,2,2,2,4,2,2,4,2,2,3,3,2,4,2,2,4,2,3,4,3,3,2,2,3,3,1,2,1,1,1,2,3,2,3,2,2,1,1,2,1,4,5,5,4,4,3,5,4,4,3,5,4,5,2,4,5,4,3,2,5,4,1,1,1,2,4,1,1,2,1,2,1,2,1,2,2,1,2,1,2,2,4,4,2,3,1,1,5,5,1,3,2,4,4,4,3,162,17,28,16,43,25,42,173,73,24,19,15,31
