Variable,row,age,sex,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40,m41,m42,m43,m44,m45,m46,m47,m48,m49,m50,m51,m52,m53,m54,m55,m56,maharat,roshd,khodpeiravi,ertebatm,rezayat,manaviat,shadi,behzisti
,98,,2,4,2,2,1,3,1,2,1,3,2,1,1,4,2,1,3,1,2,3,5,3,3,1,5,2,5,1,1,3,4,3,1,3,1,3,3,2,3,5,5,3,1,1,1,1,1,2,1,1,5,1,2,5,3,5,1,3,5,5,2,1,5,1,3,1,1,1,3,3,1,1,1,5,2,3,1,5,4,4,3,3,2,2,5,3,3,4,3,4,5,3,5,5,2,4,2,1,2,2,2,3,1,4,2,1,5,1,2,2,3,1,1,1,1,2,1,1,1,5,2,1,5,2,1,2,1,2,5,4,4,2,2,4,148,22,30,24,46,28,41,188
,99,,2,1,2,1,1,1,1,1,1,2,1,1,2,2,5,1,1,1,2,2,5,1,1,1,5,4,2,1,1,2,2,1,1,1,1,5,1,4,1,2,2,2,4,2,5,1,1,1,1,1,5,1,1,2,4,1,2,1,5,1,1,1,1,1,1,1,1,1,1,4,5,1,1,1,1,1,1,2,5,5,4,5,4,5,3,3,5,5,5,3,5,4,5,5,5,5,1,1,1,1,1,1,1,1,1,1,4,1,1,3,2,3,1,1,1,3,5,1,4,3,1,1,5,1,5,5,1,1,5,1,4,2,1,5,162,13,28,11,22,25,40,140
,100,,2,3,1,4,2,3,2,2,1,1,2,3,3,3,3,1,3,3,1,1,3,3,2,3,3,2,1,3,3,2,5,3,2,1,1,1,3,3,5,1,1,1,3,1,3,3,1,3,1,1,3,2,3,1,3,5,1,3,1,3,1,1,2,1,3,3,1,1,3,3,1,3,3,3,4,3,1,3,4,3,4,3,4,4,5,4,4,2,4,4,5,4,5,5,5,5,1,1,2,1,1,1,2,4,1,1,2,1,3,2,2,1,1,1,1,1,2,1,1,3,1,1,5,1,1,5,1,1,5,2,4,4,2,4,148,20,29,16,48,28,35,175
,101,,2,2,4,3,3,5,4,4,5,3,4,5,5,1,3,2,3,2,1,3,1,2,5,3,2,2,1,2,5,3,1,3,4,2,4,4,2,3,5,3,3,4,4,3,1,3,5,3,5,2,3,3,4,4,1,5,4,2,1,3,1,5,3,4,2,4,3,4,1,3,4,4,5,1,4,3,2,5,3,1,5,3,2,4,5,5,3,5,2,4,5,3,1,5,3,5,1,4,1,2,3,2,2,1,1,5,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,2,5,1,1,5,3,5,1,1,5,143,24,28,27,60,39,56,240
,102,,2,5,4,3,2,1,2,3,4,5,5,4,3,4,5,1,1,2,3,2,2,5,5,4,3,2,5,1,3,1,2,3,2,2,1,4,3,5,4,3,4,4,2,1,1,3,2,1,2,3,4,1,2,1,3,2,2,2,2,5,5,2,4,1,2,4,3,2,4,3,1,5,5,4,4,4,1,1,4,5,4,5,5,3,5,4,4,5,5,5,5,2,4,5,5,5,2,5,1,5,2,3,4,2,1,1,2,2,2,1,2,2,2,2,1,1,2,2,1,2,5,1,1,1,2,2,3,2,2,1,1,1,1,2,155,25,34,29,55,32,47,221
,103,,2,1,2,4,5,4,2,1,2,2,3,4,3,4,5,4,3,2,3,5,4,1,3,1,3,1,4,1,1,5,4,1,2,1,2,5,2,1,2,3,2,1,4,4,5,1,2,1,1,1,5,1,2,5,1,1,5,1,5,1,1,1,1,1,1,1,1,1,5,5,1,5,5,5,4,1,1,1,3,5,5,3,3,3,5,5,5,5,5,2,5,4,5,5,3,5,1,1,2,1,1,3,1,2,1,2,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,2,3,5,3,2,3,4,2,4,2,4,145,19,33,15,41,40,50,196
,104,,2,3,4,2,2,3,2,2,3,2,4,3,4,4,3,2,2,1,3,4,4,3,3,2,4,3,2,3,4,2,3,3,2,1,2,3,3,3,4,2,2,3,2,4,4,3,3,3,3,3,3,4,3,4,2,3,3,3,2,1,2,4,4,4,2,4,3,4,4,4,3,4,4,4,4,4,2,2,5,3,5,5,5,4,5,4,5,5,3,5,5,5,5,5,5,2,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,1,1,5,1,5,1,1,1,159,25,34,21,57,33,58,229
,105,,2,1,3,3,2,2,5,2,1,4,1,1,5,5,5,2,3,5,5,4,3,4,5,1,4,1,4,2,1,5,4,1,2,3,3,4,3,4,4,1,1,3,3,5,5,1,3,2,1,5,3,3,2,3,3,1,4,2,1,5,3,4,2,4,3,4,1,1,2,4,4,4,4,4,2,4,3,5,4,5,5,4,5,5,5,5,5,5,5,4,5,5,4,1,1,1,1,2,3,1,2,3,5,3,2,3,5,5,5,2,3,1,3,1,2,3,2,5,5,4,5,4,2,3,4,2,2,4,5,1,5,2,3,2,189,26,26,20,54,35,69,232
,106,,2,3,2,1,1,3,1,2,1,2,2,3,5,4,2,1,2,1,3,2,3,3,1,1,5,2,4,1,1,2,4,2,2,2,4,2,4,3,2,2,2,4,2,2,4,3,1,2,1,1,1,4,1,5,3,2,3,3,2,2,1,1,1,1,2,5,3,1,2,1,2,1,1,3,1,5,1,3,5,4,5,4,1,4,5,5,5,4,5,5,5,5,5,5,5,4,1,1,1,1,1,1,1,2,1,1,5,1,4,1,4,1,1,1,1,1,5,1,1,5,4,1,5,5,2,2,5,4,2,5,2,2,3,2,168,20,24,20,39,21,51,174
,107,,2,4,3,2,2,3,2,2,1,3,2,3,4,5,2,2,3,3,3,4,3,3,3,3,3,3,3,1,1,2,3,2,2,4,5,1,2,4,2,4,4,2,3,2,2,4,1,5,1,1,2,2,4,1,5,4,2,2,4,3,3,2,2,1,3,3,2,3,3,2,4,2,2,3,2,3,2,3,5,5,5,5,5,5,5,4,4,4,5,4,5,3,5,5,3,4,4,2,2,3,3,2,2,4,2,1,5,2,1,1,2,1,1,2,1,1,3,2,1,4,4,2,2,1,1,4,1,3,4,1,3,1,5,4,169,21,32,22,57,26,48,206
,108,,2,3,3,2,1,2,2,3,1,3,1,4,2,2,2,1,2,4,5,3,5,2,2,3,4,4,5,1,3,5,2,2,3,2,5,4,2,3,2,3,4,4,1,3,1,3,2,5,2,3,5,5,3,1,1,3,5,2,5,2,1,2,4,2,3,1,3,5,3,2,5,4,5,1,2,4,4,3,5,3,4,2,3,5,5,4,3,3,5,2,5,2,4,5,5,5,2,1,4,1,2,3,1,2,4,2,2,1,2,1,1,5,1,1,1,2,3,2,2,5,4,3,5,2,5,4,3,1,5,1,3,1,1,4,163,20,37,22,48,28,62,222
,109,,2,1,4,3,3,3,3,3,4,3,3,3,3,3,3,1,2,3,2,3,5,3,3,3,3,2,5,3,3,5,4,3,4,5,4,3,2,1,3,3,3,2,2,1,1,3,3,3,2,4,5,5,3,3,3,2,2,1,1,5,1,1,1,1,3,3,1,3,3,1,3,3,3,1,1,4,3,3,5,5,4,5,5,3,5,5,5,4,5,3,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,1,2,1,1,4,1,3,3,1,3,140,24,22,23,53,33,53,213
,110,,2,3,3,2,2,3,1,1,2,3,1,3,4,1,3,3,3,3,3,3,3,1,3,3,3,3,3,2,3,3,3,3,2,3,3,2,3,2,3,2,3,3,2,2,3,3,3,3,3,3,4,3,3,2,3,2,4,3,4,3,3,4,3,2,2,2,1,3,2,3,4,3,2,1,3,2,4,3,5,4,3,5,3,2,5,3,5,1,4,2,4,3,4,4,2,5,3,2,2,1,2,2,1,3,2,1,2,2,2,1,1,1,1,1,1,2,1,1,1,2,5,5,5,3,2,4,1,1,5,2,2,1,1,5,144,19,30,17,56,29,49,206
,111,,2,3,2,1,4,2,3,2,1,2,2,2,3,2,3,4,4,2,2,4,3,3,2,2,4,3,3,3,2,4,4,1,1,3,2,3,3,1,2,1,3,1,1,3,2,3,1,2,5,3,4,1,1,3,3,5,3,2,4,5,2,3,2,1,4,2,2,1,2,3,4,3,2,4,3,3,2,2,5,3,3,2,1,2,5,4,5,3,5,4,4,3,1,2,2,2,1,2,1,2,1,3,1,3,2,1,1,2,2,1,2,2,5,1,1,1,1,2,1,2,1,3,5,1,2,5,1,1,2,1,2,1,2,2,126,27,28,19,50,27,48,198
,112,,2,2,4,2,4,3,2,4,2,4,2,1,2,4,4,2,3,4,4,5,3,2,4,3,4,3,5,4,2,4,2,1,3,1,4,5,3,4,1,2,5,3,4,3,5,2,4,2,2,3,4,4,1,2,2,1,2,2,3,3,4,2,4,1,3,3,4,1,4,1,2,1,4,3,1,4,2,2,4,5,3,3,2,1,5,5,3,5,2,4,5,3,5,5,5,5,1,1,1,1,1,3,1,3,3,1,5,5,5,2,3,3,5,1,1,1,1,3,1,5,3,5,5,3,5,5,1,1,5,1,5,5,5,3,179,24,22,26,50,34,62,221
,113,,2,3,4,3,2,3,3,2,1,3,3,3,2,4,3,1,3,3,2,4,3,4,3,3,4,5,4,2,3,2,3,3,1,2,1,4,3,3,2,1,4,2,3,3,5,3,1,2,1,1,1,5,2,3,3,3,2,2,5,3,2,2,3,1,3,1,1,2,2,3,3,4,3,3,3,5,1,3,4,4,4,3,2,5,5,3,5,3,3,4,4,4,3,3,5,3,3,4,2,3,4,2,4,5,2,2,4,1,3,1,3,1,2,1,3,4,1,1,4,5,2,3,5,3,3,3,2,1,3,4,2,4,2,5,174,22,33,24,45,24,60,207
,114,,2,3,3,2,1,2,2,1,1,1,2,4,1,1,4,1,2,3,1,2,3,5,2,2,5,4,5,1,1,4,3,3,2,1,3,5,1,1,3,5,1,5,2,2,4,1,2,4,2,2,3,2,2,3,1,1,5,2,4,1,1,3,2,3,2,1,3,4,5,1,4,1,3,4,1,3,3,5,3,5,4,4,1,1,3,4,2,2,5,5,3,3,1,3,3,5,5,5,3,1,5,5,5,4,4,4,5,1,5,5,5,4,2,5,5,5,2,3,5,3,3,2,2,4,5,5,1,1,2,5,5,1,1,5,195,18,27,19,40,34,55,194
,115,,2,3,2,3,4,3,2,2,2,3,2,5,3,2,2,2,3,3,3,4,4,2,3,3,1,2,4,1,1,2,3,2,2,2,2,4,2,3,2,3,5,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,3,4,5,4,3,2,1,2,3,4,5,3,2,4,3,4,4,5,4,3,3,3,5,4,4,4,5,3,4,3,2,5,4,5,1,1,1,1,1,3,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,3,4,1,2,2,2,3,1,1,4,1,3,3,2,2,132,20,30,26,50,32,59,220
,116,,2,4,5,4,5,2,4,5,2,1,5,2,5,5,5,4,2,4,4,1,2,5,5,5,1,2,4,4,2,1,1,5,5,5,5,1,5,5,5,1,4,1,4,4,5,5,4,2,1,2,2,1,5,2,4,4,2,4,2,2,5,4,5,4,4,5,4,5,4,4,1,4,5,5,4,4,5,2,2,3,3,4,3,5,5,5,3,4,3,3,5,3,4,2,2,3,4,3,5,5,1,4,3,5,4,3,4,3,4,3,5,4,4,3,4,3,4,3,4,3,4,3,4,3,4,5,3,4,3,5,3,4,3,3,201,23,30,27,80,40,68,272
